wn_synset	babelnet_id	pos	lemmata en	lemmata it	definition	confidence	dist_from_music	dist_from_entity
n11163859	bn:00050704n	n	Massine, Leonide_Fedorovitch_Massine, Leonid_Fyodorovich_Myasin	leonid_fedorovitch_miassine, leonid_fyodorovich_myasin, leonid_massine, leonid_myasin, leonide_massine, massine, léonide_massine	French choreographer and ballet dancer (born in Russia) (1895-1979)	0.331	10	6
n11246408	bn:00050710n	n	Price, Leontyne_Price, Mary_Leontyne_Price	leontyne_price	United States operatic soprano (born 1927)	0.628	13	9
n11318967	bn:00050721n	n	Stokowski, Leopold_Stokowski, Leopold_Antoni_Stanislaw_Stokowski	leopold_stokowski, leopold_stokowsky, stokowsky	United States conductor (born in Britain) (1882-1977)	0.661	12	8
n11403692	bn:00050796n	n	Young, Pres_Young, Lester_Willis_Young	lester_young	United States jazz tenor saxophonist (1909-1959)	0.643	12	8
n00889883	bn:00062205n	n	piano_lesson	lezione_di_piano	a lesson in playing the piano	0.714	14	12
n10111023	bn:00036399n	n	freeman, freewoman	libero	a person who is not a serf or a slave	0.262	10	6
n07012025	bn:00050979n	n	libretto	libretto_d'opera, libretti, libretto	the words of an opera or musical play	0.556	7	7
n07051620	bn:00051026n	n	lied	lieder, lied	a German art song of the 19th century for voice and piano	0.702	3	7
n11001422	bn:00040554n	n	Gish, Lillian_Gish	lillian_diana_de_guiche, lillian_gish	United States film actress who appeared in films by D. W. Griffith (1896-1993)	0.19	12	8
n11275344	bn:00051204n	n	Russell, Lillian_Russell	lillian_russell	United States entertainer remembered for her roles in comic operas (1861-1922)	0.315	12	8
n11242321	bn:00002716n	n	Pons, Lily_Pons, Alice-Josephine_Pons	lily_pons	United States coloratura soprano (born in France) (1904-1976)	0.488	14	10
n11027127	bn:00042751n	n	Hampton, Lionel_Hampton	lionel_hampton	United States musician who was the first to use the vibraphone as a jazz instrument (1913-2002)	0.55	12	8
n07026352	bn:00059107n	n	opera	lirica, melodramma, musica_lirica, opera_lirica, opera	a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes	0.553	3	6
a02856460	bn:00106289a	a	lyric	lirico	relating to or being musical drama	1.0	99	99
a01468994	bn:00106288a	a	lyric	lirico	used of a singer or singing voice that is light in volume and modest in range	0.75	99	99
a01501990	bn:00106291a	a	lyrical	lirico	suitable for or suggestive of singing	1.0	99	99
n07240763	bn:00051522n	n	litany	litania	any long and tedious address or recital	0.0	9	7
n10277638	bn:00052378n	n	lutist, lutanist, lutenist	liutista	a musician who plays the lute	0.456	11	7
n11032541	bn:00043083n	n	Hart, Lorenz_Hart, Lorenz_Milton_Hart	lorenz_hart	United States lyricist who collaborated with Richard Rodgers (1895-1943)	0.443	11	7
n10823199	bn:00005802n	n	Armstrong, Louis_Armstrong, Satchmo	louis_armstrong, louis_daniel_armstrong, pops, satchmo	United States pioneering jazz trumpeter and bandleader (1900-1971)	0.416	12	8
n03350011	bn:00034741n	n	first_gear, first, low_gear, low	low, prima_marcia, prima	the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving	0.731	13	9
n10742005	bn:00079375n	n	usherette	lucciola, maschera	a female usher	0.083	13	9
n11227101	bn:00052236n	n	Pavarotti, Luciano_Pavarotti	luciano_pavarotti, pavarotti_international, pavarotti	Italian tenor (born in 1935)	0.469	13	9
n06400271	bn:00060882n	n	passage	luogo, pagina, passaggio, passo, pezzo, punto	a section of text; particularly a section of medium length	0.333	2	6
n14499111	bn:00072843n	n	sordidness, squalor, squalidness	luridume, sordidezza	sordid dirtiness	1.0	9	7
n11148748	bn:00052650n	n	Madonna, Madonna_Louise_Ciccone	madonna_louise_veronica_ciccone, madonna	United States pop singer and sex symbol during the 1980s (born in 1958)	0.367	12	8
v01732014	bn:00090546v	v	madrigal	madrgiale	sing madrigals	0.667	99	99
n07052925	bn:00052656n	n	madrigal	madrigale, madrigali, madrigal	an unaccompanied partsong for 2 or 3 voices; follows a strict poetic form	0.559	4	8
n10279867	bn:00052657n	n	madrigalist	madrigalista	a singer of madrigals	1.0	12	8
a01472098	bn:00106336a	a	major	maggiore, scala_maggiore	of a scale or mode	1.0	99	99
n04393095	bn:00076107n	n	tape_recorder, tape_machine	magnetofono, registratore_a_nastro	a magnetic recorder using magnetic tape	0.211	13	9
n11076820	bn:00047837n	n	Jackson, Mahalia_Jackson	mahalia_jackson	United States singer who did much to popularize gospel music (1911-1972)	0.406	12	8
n00538668	bn:00053074n	n	mambo	mambo	a Latin American dance similar in rhythm to the rumba	0.584	10	8
n03716887	bn:00053161n	n	mandola	mandola, mandora	an early type of mandolin	0.695	15	11
n10965836	bn:00032815n	n	Falla, Manuel_de_Falla	manuel_de_falla	Spanish composer and pianist (1876-1946)	0.256	12	8
n03720891	bn:00053321n	n	maraca	maracas, maraca	a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs	0.445	13	9
n10853244	bn:00011300n	n	Blitzstein, Marc_Blitzstein	marc_blitzstein, marcus_samuel_blitzstein	United States pianist and composer of operas and musical plays (1905-1964)	0.289	12	8
n08249207	bn:00053366n	n	marching_band	marching_band	a band that marches (as in a parade) and plays music at the same time	0.471	9	7
n07059028	bn:00025518n	n	funeral_march, dead_march	marcia_funebre	a slow march to be played for funeral processions	0.744	4	7
n07058296	bn:00053355n	n	marching_music, march	marcia_funebre, marcia	genre of music written for marching	0.632	2	5
n07059150	bn:00080798n	n	wedding_march	marcia_nuziale	a march to be played for a wedding procession	0.75	4	7
n08250409	bn:00053411n	n	mariachi	mariachi	a group of street musicians in Mexico	0.484	9	7
n10817458	bn:00003948n	n	Anderson, Marian_Anderson	marian_anderson	United States contralto noted for her performance of spirituals (1902-1993)	0.313	13	9
n11060688	bn:00044788n	n	Horne, Marilyn_Horne	marilyn_horne	United States operatic mezzo-soprano (born 1934)	0.602	14	10
n03721384	bn:00053421n	n	marimba, xylophone	marimba, marimbe, silofono, xilofoni, xilofono	a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets	0.621	13	9
n11255085	bn:00053900n	n	Ravel, Maurice_Ravel	maurice_ravel	French composer and exponent of Impressionism (1875-1937)	0.468	12	8
n03732020	bn:00053910n	n	Mauser	mauser_werke_ag, mauser	trademark for a repeating rifle or pistol	0.004	16	12
n10867933	bn:00013453n	n	Bruch, Max_Bruch	max_bruch	German composer (1838-1920)	0.383	12	8
n07056021	bn:00053966n	n	mazurka	mazurca, mazurka	music composed for dancing the mazurka	0.548	2	6
n10036574	bn:00028896n	n	drum_major	mazziere, tamburo_maggiore	the leader of a marching band or drum corps	0.318	12	8
n07047505	bn:00054166n	n	medley, potpourri, pastiche	medley, miscuglio, misto, pot-pourri, varietà	a musical composition consisting of a series of songs or other musical pieces from various sources	0.729	2	6
n04983848	bn:00054256n	n	melodiousness, tunefulness	melodia, canorità	the property of having a melody	1.0	8	6
a01501113	bn:00106584a	a	melodious, melodic, musical	melodioso, melodico, musicale	containing or constituting or characterized by pleasing melody	0.9	99	99
n07026646	bn:00012392n	n	comic_opera, opera_bouffe, bouffe, opera_comique	melodramma_buffo, opera_buffa, opera_comica, opere_buffe	opera with a happy ending and in which some of the text is spoken	0.537	4	7
n15265331	bn:00054347n	n	meno_mosso	meno_mosso	played at reduced speed; less rapid	0.763	8	6
a02931947	bn:00106533a	a	mensural, measured, mensurable	mensurale, misurata	having notes of fixed rhythmic value	1.0	99	99
n07056113	bn:00055232n	n	minuet	menuetto, minuetti, minuetto	a stately piece of music composed for dancing the minuet; often incorporated into a sonata or suite	0.697	2	6
n10917554	bn:00024405n	n	Cunningham, Merce_Cunningham	merce_cunningham, mercier_philip_cunningham	United States dancer and choreographer (born in 1922)	0.22	10	6
n07033753	bn:00053666n	n	Mass	messa_cantata, messa	a musical setting for a Mass	0.631	3	6
n01042661	bn:00067256n	n	Requiem	messa_funebre, onoranze_funebri, requiem	a Mass celebrated for the dead	0.591	11	9
n04991738	bn:00054612n	n	meter, metre, time	metro, tempo	rhythm as given by division into parts of equal duration	0.756	8	6
n03757604	bn:00054669n	n	metronome	metronomo, metronom, plessimetro	clicking pendulum indicates the exact tempo of a piece of music	0.401	13	9
n06873017	bn:00054699n	n	mezzo-soprano, mezzo	mezzo_soprano, mezzosoprano	the female singing voice between contralto and soprano	1.0	5	5
n10313441	bn:00054698n	n	mezzo-soprano, mezzo	mezzo-soprano, mezzo_soprano, mezzosoprano	a soprano with a voice between soprano and contralto	0.864	13	9
n11002422	bn:00040668n	n	Glinka, Mikhail_Glinka, Mikhail_Ivanovich_Glinka	michael_glinka, michael_ivanovich_glinka, michail_glinka, michail_ivanovich_glinka, michail_iwanowitsch_glinka, mihail_ivanovic_glinka, mikhail_glinka, mikhail_ivanovich_glinka, michail_ivanovič_glinka, mikhaïl_ivanovitch_glinka	Russian composer (1804-1857)	0.409	12	8
n11078650	bn:00047889n	n	Jagger, Mick_Jagger, Michael_Philip_Jagger	mick_jagger, sir_michael_phillip_jagger	English rock star (born in 1943)	0.489	13	9
n10924828	bn:00025400n	n	Davis, Miles_Davis, Miles_Dewey_Davis_Jr.	miles_davis	United States jazz musician; noted for his trumpet style (1926-1991)	0.649	12	8
a01472225	bn:00106767a	a	minor	minore, scala_minore	of a scale or mode	1.0	99	99
n06372680	bn:00056669n	n	myth	miti, mito, racconti_mitologici	a traditional story accepted as history; serves to explain the world view of a people	0.006	8	8
n11198375	bn:00055480n	n	Mussorgsky, Moussorgsky, Modest_Mussorgsky, Modest_Moussorgsky, Modest_Petrovich_Mussorgsky, Modest_Petrovich_Moussorgsky	modest_moussorgski, modest_moussorgsky, modest_musorgski, modest_mussorgskij, modest_mussorgski, modest_mussorgsky, modest_petrovich_moussorgsky, modest_petrovich_mussorgsky, modest_petrowitsch_mussorgskij, modeste_mussorgsky, modeste_mussourgsky, modeste_petrovich_moussorgsky, modeste_petrovitch_moussorgski, modesto_mussorgski, musorgsky, mussorgsky, modest_petrovič_musorgskij	Russian composer of operas and orchestral works (1839-1881)	0.425	12	8
n07087641	bn:00055494n	n	transition, modulation	modulazione, passaggio, transizione	a musical passage moving from one key to another	0.875	3	7
n03633632	bn:00049690n	n	lagerphone	monkey_stick	an Australian percussion instrument used for playing bush music; a long stick with bottle caps nailed loosely to it; played by hitting it with a stick or banging it on the ground	0.536	13	9
n07024705	bn:00055709n	n	monophony, monophonic_music, monody	monodia, monofonia	music consisting of a single vocal part (usually with accompaniment)	0.575	1	5
a01544059	bn:00106888a	a	monodic, monodical	monodico	having a single vocal part	1.0	99	99
a01543772	bn:00106898a	a	monophonic	monofonico	consisting of a single melodic line	1.0	99	99
n05931980	bn:00055965n	n	mosaic	mosaico	a pattern resembling a mosaic	0.0	8	6
n02191773	bn:00011448n	n	blowfly, blow_fly	moscone_della_carne, moscone	large usually hairy metallic blue or green fly; lays eggs in carrion or dung or wounds	0.684	16	12
n00527498	bn:00072047n	n	slam_dancing, slam_dance	mosh	a form of dancing in which dancers slam into one another; normally performed to punk rock	0.75	10	8
n07029247	bn:00045803n	n	theme, melodic_theme, musical_theme, idea	motivo, soggetto, tema_musicale, tema	(music) melodic subject of a musical composition	0.782	2	6
n07029682	bn:00056024n	n	motif, motive	motivo, tema_musicale, tema	a theme that is repeated or elaborated in a piece of music	0.811	3	7
n07280754	bn:00055997n	n	motet	mottetti, mottetto	an unaccompanied choral composition with sacred lyrics; intended to be sung as part of a church service; originated in the 13th century	0.642	2	6
n07046339	bn:00056157n	n	movement	movimento, tempo	a major self-contained part of a symphony or sonata	0.902	2	6
n11194355	bn:00056176n	n	Mozart, Wolfgang_Amadeus_Mozart	mozart, wolfgang_amadeus_mozart, joannes_chrysostomus_wolfgangus_theophilus_mozart	prolific Austrian composer and child prodigy; master of the classical style in all its forms of his time (1756-1791)	0.398	12	8
n05718935	bn:00056445n	n	music	musica	(music) the sounds produced by singers or musical instruments (or reproductions of such sounds)	1.0	11	9
n05718556	bn:00031853n	n	music, euphony	musica	any agreeable (pleasing and harmonious) sounds	0.8	11	9
n06816106	bn:00070987n	n	sheet_music	musica, spartito	a musical composition in printed or written form	0.579	2	6
n07060697	bn:00008208n	n	dance_music, danceroom_music, ballroom_music	musica_da_ballo	a genre of popular music composed for ballroom dancing	1.0	3	6
n07281375	bn:00046286n	n	incidental_music	musica_da_scena, musica_incidentale, musiche_di_scena	music composed to accompany the action of a drama or to fill intervals between scenes	0.541	2	6
n07059255	bn:00063586n	n	popular_music, popular_music_genre	musica_di_massa, musica_popolare, popular_music	any genre of music having wide appeal (but usually only for a short time)	0.742	2	5
n07058468	bn:00053577n	n	military_march, military_music, martial_music	musica_militare	brisk marching music suitable for troops marching in a military parade	0.463	3	6
n07033913	bn:00067255n	n	Requiem	musica_per_messa_da_requiem, requiem	a musical setting for a Mass celebrating the dead	0.855	4	7
n06815621	bn:00062207n	n	piano_music	musica_per_pianoforte	sheet music to be played on a piano	1.0	3	7
n07024929	bn:00021565n	n	polyphony, polyphonic_music, concerted_music	musica_polifonica, polifoniche, polifonica, polifonico, polifonia	music arranged in parts for several voices or instruments	0.608	1	5
n07062315	bn:00044145n	n	hillbilly_music	musica_popolare_antica, old-time_music	country music originating in mountainous regions of southern United States	0.649	5	8
n07064715	bn:00068049n	n	rock_'n'_roll, rock'n'roll, rock-and-roll, rock_and_roll, rock, rock_music	musica_rock, rock_and_roll, rock	a genre of popular music originating in the 1950s; a blend of black rhythm-and-blues with white country-and-western	0.803	3	6
n07057196	bn:00070601n	n	serialism, serial_music	musica_seriale, serialismo, serie	20th century music that uses a definite order of notes as a thematic basis for a musical composition	0.75	1	5
n07061968	bn:00072888n	n	soul	musica_soul, soul_music, soul	a secular form of gospel that was a major Black musical genre in the 1960s and 1970s	0.79	3	6
n07038767	bn:00046972n	n	instrumental_music	musica_strumentale	music intended to be performed by a musical instrument or group of instruments	1.0	1	5
n07058064	bn:00076342n	n	techno	musica_techno, techno_pop, techno_trance, techno	a style of fast heavy electronic dance music usually without vocals	0.698	2	6
n00545344	bn:00080174n	n	vocal_music	musica_vocale	music that is vocalized (as contrasted with instrumental music)	0.69	9	7
n07282006	bn:00080173n	n	vocal_music, vocal	musica_vocale, vocale	music intended to be performed by one or more singers, usually with instrumental accompaniment	0.698	1	5
n07025900	bn:00019566n	n	classical_music, classical, serious_music	musica-classica, musica_classica, musica_colta	traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste	0.602	2	5
n07026239	bn:00017585n	n	chamber_music	musica-da-camera, musica_da_camera, musiche_da_camera	serious music performed by a small group of musicians	0.797	3	6
a02867783	bn:00107056a	a	musical	musicale	characterized by or capable of producing music	1.0	99	99
n04983688	bn:00052474n	n	lyricality, lyricism, songfulness	musicalità	the property of being suitable for singing	1.0	8	6
n04983402	bn:00056474n	n	musicality, musicalness	musicalità, armoniosità	the property of sounding like music	0.424	7	5
v01706014	bn:00093533v	v	set_to_music	musicare, mettere_in_musica	write (music) for (a text)	1.0	99	99
n07033007	bn:00019010n	n	religious_music, church_music	musica-sacra, musica_da_chiesa, musica_liturgica, musica_religiosa, musica_sacra, musica_spirituale	genre of music composed for performance as part of religious ceremonies	0.428	2	5
n10339966	bn:00056475n	n	musician	musicista	artist who composes or conducts music as a profession	0.769	10	6
n04989362	bn:00056892n	n	nasality	nasalità	a quality of the voice that is produced by nasal resonators	0.047	8	6
n02757810	bn:00007114n	n	audiotape	nastro_magnetico	a tape recording of sound	1.0	14	10
n03195959	bn:00025313n	n	digital_audiotape, DAT	nastro_magnetico_digitale	a digital tape recording of sound	1.0	15	11
a01577771	bn:00107155a	a	natural	naturale	(of a musical note) being neither raised nor lowered by one chromatic semitone	1.0	99	99
n11172045	bn:00025108n	n	Melba, Dame_Nellie_Melba, Helen_Porter_Mitchell	nellie_melba	Australian operatic soprano (1861-1931)	0.477	14	10
n11262929	bn:00057720n	n	Rimsky-Korsakov, Nikolai_Andreyevich_Rimsky-Korsakov, Rimski-Korsakov, Nikolai_Andreyevich_Rimski-Korsakov	nicolai_rimsky-korsakov, nicolaj_rimskij-korsakov, nicolas_rimsky-korsakov, nikolai_rimski-korsakov, nikolai_rimski-korsakow, nikolai_rimski-korssakow, nikolai_rimsky-korsakav, nikolai_rimsky-korsakov, nikolai_rimsky-korssakow, nikolaj_rimski-korsakow, nikolaj_rimskij-korsakov, nikolaj_rimskij_korsakov, nikolaj_rimsky-korsakov, nikolay_rimsky-korsakov, nikolay_rimsky_korsakov, rimski-korsakov, nicolaï_rimski-korsakov, nikolaï_rimsky-korsakoff, nikolai_andreevich_rimski-korsakov, nikolaj_andreevič_rimskij-korsakov, nicolai_andreyevich_rimsky-korsakov, nicolas_andreievich_rimsky-korsakov, nikolai_andreievich_rimsky-korsakov, nikolai_andreyevich_rimski-korsakov, nikolai_andreyevich_rimsky-korsakov, nikolay_andreyevich_rimsky-korsakov, nikolai_andrejewitsch_rimsky-korsakow, nikolaj_andrejewitsch_rimski-korsakow	Russian composer of operas and orchestral works; often used themes from folk music (1844-1908)	0.492	12	8
n11207585	bn:00057715n	n	Nijinsky, Vaslav_Nijinsky, Waslaw_Nijinsky	nijinsky, nishinski, njinski, njinsky, vaslav_nijinskij, vaslav_nijinska, vaslav_njinski, vaslaw_nijinsky, vaslaw_njinski, waslaw_fomich_nijinsky, waslaw_nijinski, waslaw_nijinsky, wazlaw_nischinskij, wazlaw_nischinski, nižinskij, vaclav_nižinskij, vaclav_fomič_nižinskij	Russian dancer considered by many to be the greatest dancer of the 20th century (1890-1950)	0.241	11	7
n11207768	bn:00013127n	n	Nilsson, Brigit_Nilsson, Marta_Brigit_Nilsson	nilsson	Swedish operatic soprano who played Wagnerian roles (born in 1918)	0.296	13	9
n00546738	bn:00023495n	n	lullaby, cradlesong	ninna_nanna, ninnananna	the act of singing a quiet song to lull a child to sleep	0.5	11	9
a02252182	bn:00112264a	a	unaccompanied	non_accompagnato	playing or singing without accompaniment	1.0	99	99
a01164561	bn:00101590a	a	unresolved, dissonant	non_risolto; dissonante	characterized by musical dissonance; harmonically unresolved	1.0	99	99
n06858674	bn:00061230n	n	pedal_point, pedal	nota_di_pedale, note_di_pedale, pedale_invertito, pedale_ornato, pedale	a sustained bass note	0.924	8	8
n06865345	bn:00056463n	n	note, musical_note, tone	nota_musicale, nota	a notation representing the pitch and duration of a musical sound	0.465	7	7
n06814870	bn:00056462n	n	musical_notation	notazione_musicale, semiografia_musicale	(music) notation used by musicians	0.496	6	6
n07047679	bn:00057845n	n	nocturne, notturno	notturni, notturno	a pensive lyrical piece of music (especially for the piano)	0.699	2	6
n07029581	bn:00058426n	n	obbligato, obligato	obbligato	a persistent but subordinate motif	1.0	4	8
n06815970	bn:00058427n	n	obbligato, obligato	obbligato	a part of the score that must be performed without change or omission	1.0	2	6
n03838899	bn:00043159n	n	oboe, hautboy, hautbois	oboe	a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece	0.602	16	12
n03839276	bn:00058482n	n	oboe_d'amore	oboe_d'amore, oboes_d'amore	an oboe pitched a minor third lower than the ordinary oboe; used to perform baroque music	0.765	17	13
n10369317	bn:00058484n	n	oboist	oboista	a musician who plays the oboe	1.0	11	7
n07031144	bn:00044604n	n	homophony	omofonia, omofono	part music with one dominant voice (in a homophonic style)	0.769	2	6
a01543937	bn:00104295a	a	homophonic	omofonico	having a single melodic line with accompaniment	1.0	99	99
n09541346	bn:00079028n	n	undine	ondina	any of various female water spirits	0.692	11	9
n07026827	bn:00041338n	n	grand_opera	opera_lirica	opera in which all the text is sung	1.0	4	7
n06592281	bn:00068067n	n	rock_opera	opera_rock	albums of rock music that aspired to the status of art; first appeared in the 1960s	0.66	13	9
n07027090	bn:00051138n	n	operetta, light_opera	operetta, operette	a short amusing opera	0.499	5	8
n08248411	bn:00017587n	n	chamber_orchestra	orchestra_da_camera	small orchestra; usually plays classical music	0.718	9	7
n08248747	bn:00074690n	n	string_orchestra	orchestra_d'archi	an orchestra playing only stringed instruments	0.942	9	7
n08248157	bn:00059285n	n	orchestra	orchestra_filarmonica, orchestra_sinfonica, orchestra, orchestre	a musical organization consisting of a group of instrumentalists including string players	0.72	8	6
v01707737	bn:00091189v	v	orchestrate	orchestrare	write an orchestra score for	1.0	99	99
n07038615	bn:00059288n	n	orchestration	orchestrazione, strumentazione	an arrangement of a piece of music for performance by an orchestra or band	1.0	3	7
n05658106	bn:00000446n	n	absolute_pitch, perfect_pitch	orecchio_assoluto	the ability to identify the pitch of a tone	0.382	11	9
n10382825	bn:00059486n	n	organist	organista	a person who plays an organ	0.604	11	7
n03854065	bn:00059461n	n	organ, pipe_organ	organo_a_canne, organo	wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard	0.344	13	9
n03273551	bn:00030157n	n	electric_organ, electronic_organ, Hammond_organ, organ	organo_elettrico, organo_elettronico, organo_hammond, organo	(music) an electronic simulation of a pipe organ	0.529	13	9
n05127782	bn:00044763n	n	horizon, view, purview	orizzonte	the range of interest or activity that can be anticipated	0.333	9	7
n00263272	bn:00034388n	n	figuration	ornamentazione	decorating with a design	0.701	11	9
n11026597	bn:00042742n	n	Hammerstein, Oscar_Hammerstein, Oscar_Hammerstein_II	oscar_hammerstein_ii, oscar_hammerstein	United States lyricist who collaborated on many musical comedies (most successfully with Richard Rodgers) (1895-1960)	0.299	11	7
n07045637	bn:00059680n	n	ostinato	ostinato, basso_ostinato	a musical phrase repeated over and over during a composition	0.87	4	8
n07042137	bn:00058610n	n	octet, octette	ottetto	a musical composition written for eight performers	1.0	2	6
n08248047	bn:00058608n	n	octet, octette	ottetto	eight performers or singers who perform together	1.0	8	6
n11258214	bn:00059731n	n	Respighi, Ottorino_Respighi	ottorino_respighi	Italian composer remembered for his symphonic poems (1879-1936)	0.552	12	8
n06688751	bn:00059828n	n	ovation, standing_ovation	ovazione, standing_ovation	enthusiastic recognition (especially one accompanied by loud applause)	0.078	6	6
n11511765	bn:00027778n	n	distortion	overdrive	a change (usually undesired) in the waveform of an acoustic or analog electrical signal; the difference between two measurements of a signal (as between the input and output signal)	0.495	11	7
n10885831	bn:00016382n	n	Casals, Pablo_Casals	pablo_casals, pau_casals	an outstanding Spanish cellist noted for his interpretation of Bach's cello suites (1876-1973)	0.362	12	8
n04982478	bn:00045291n	n	hush, stillness, still	pace, quiete, silenzio	(poetic) tranquil silence	0.6	8	6
n11219851	bn:00057617n	n	Paganini, Niccolo_Paganini	paganini, nicolò_paganini, niccolò_paganini	Italian violinist and composer of music for the violin (1782-1840)	0.394	12	8
v01723963	bn:00091442v	v	parody	parodia	make a spoof of or make fun of	0.667	99	99
n07030976	bn:00060775n	n	part_music	parte	vocal music for several voices in independent parts (usually performed without accompaniment)	0.909	1	5
n07030718	bn:00060770n	n	part, voice	parte, voce	the melody carried by a particular voice or instrument in polyphonic music	0.596	2	6
n07047275	bn:00060813n	n	partita	partita	one of the variations contained in a partita	1.0	4	8
n07047165	bn:00060814n	n	partita	partita	(music) an instrumental suite common in the 18th century	0.812	3	7
n09900981	bn:00016701n	n	catch, match	partito	a person regarded as a good matrimonial prospect	0.5	9	5
n06815714	bn:00056470n	n	score, musical_score	partitura, spartito	a written form of a musical composition; parts for different instruments appear on separate staves on large pages	0.556	3	7
n07056265	bn:00060869n	n	paso_doble	paso-doble, paso_doble	music in march time composed for dancing the paso doble; often played at bull fights	0.371	2	6
n03897520	bn:00060947n	n	pastiche	pastiche, pastisz	a work of art that imitates the style of some previous work	0.182	12	8
n07043824	bn:00045863n	n	pastorale, pastoral, idyll, idyl	pastorale	a musical composition that evokes rural life	0.818	2	6
n11301279	bn:00061069n	n	Simon, Paul_Simon	paul_simon	United States singer and songwriter (born in 1942)	0.584	12	8
n06870965	bn:00042637n	n	half_rest	pausa_di_minima	a musical rest having the time value of half a whole rest or equal in duration to two beats in common time	0.73	8	8
n06870726	bn:00081141n	n	whole_rest	pausa_di_semibreve	a musical rest equal in duration to four beats in common time	0.738	8	8
n06871262	bn:00065595n	n	quarter_rest	pausa_di_semiminima	a musical rest having one-fourth the time value of a whole rest	0.589	8	8
n06865177	bn:00067374n	n	rest	pausa_musicale, pausa	a musical notation indicating a silence of a specified duration	0.734	7	7
n07056406	bn:00061078n	n	pavane, pavan	pavana	music composed for dancing the pavane	0.583	2	6
n13284973	bn:00061124n	n	payola	payola	a bribe given to a disc jockey to induce him to promote a particular record	0.545	11	9
n00320486	bn:00070840n	n	shadowing, tailing	pedinamento	the act of following someone secretly	0.5	11	9
n05643491	bn:00013508n	n	brushwork	pennellata	an artist's distinctive technique of applying paint with a brush	0.2	8	6
n06861860	bn:00073805n	n	staff, stave	pentagramma, rigo_musicale, rigo	(music) the system of five horizontal lines on which the musical notes are written	0.643	7	7
n06861435	bn:00061429n	n	pentatonic_scale, pentatone	pentatonica, scala_pentafonica, scala_pentatonica	a gapped scale with five notes; usually the fourth and seventh notes of the diatonic scale are omitted	0.726	9	9
n10415037	bn:00061532n	n	percussionist	percussionista	a musician who plays percussion instruments	0.696	11	7
n11010697	bn:00040231n	n	Grainger, Percy_Grainger, Percy_Aldridge_Grainger, George_Percy_Aldridge_Grainger	percy_grainger	United States composer (born in Australia) who lived in London and collected English folk songs (1882-1961)	0.505	12	8
n11290984	bn:00061800n	n	Seeger, Pete_Seeger, Peter_Seeger	pete_seeger, peter_seeger	United States folk singer who was largely responsible for the interest in folk music in the 1960s (born in 1919)	0.364	13	9
n11333762	bn:00061805n	n	Tchaikovsky, Peter_Tchaikovsky, Peter_Ilich_Tchaikovsky, Pyotr_Tchaikovsky, Pyotr_Ilych_Tchaikovsky	petr_cajkovskij, pyotr_ilyich_tchaikovsky, pëtr_il'ič_čajkovskij	important Russian composer whose works are noted for their expressive melodies (1840-1893)	0.446	12	8
n07378952	bn:00017953n	n	chatter, chattering	pettegolio	the rapid series of noises made by the parts of a machine	0.333	9	7
a01458490	bn:00108578a	a	pianissimo	pianissimo	chiefly a direction or description in music; very soft	1.0	99	99
r00343938	bn:00116601r	r	pianissimo, very_softly	pianissimo	a direction in music; to be played very softly	1.0	99	99
n10430665	bn:00062203n	n	pianist, piano_player	pianista_classico, pianista, pianisti	a person who plays the piano	0.847	11	7
a03023216	bn:00108580a	a	pianistic	pianistico	skilled at or adapted for the piano	1.0	99	99
a01458303	bn:00108582a	a	piano, soft	piano	used chiefly as a direction or description in music	1.0	99	99
n04991389	bn:00062202n	n	piano, pianissimo	piano, pianissimo	(music) low loudness	0.739	8	6
n03928116	bn:00035986n	n	piano, pianoforte, forte-piano	pianoforte, piano	a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds	0.463	13	9
n07396658	bn:00076128n	n	tapping	picchiettio, tapping	the sound of light blow or knock	0.842	8	6
n04249415	bn:00071444n	n	snare_drum, snare, side_drum	piccolo_tamburo, rullantino, rullante, tamburo_rullante	a small drum with two heads and a snare stretched across the lower head	0.526	14	10
n10859369	bn:00012409n	n	Boulez, Pierre_Boulez	pierre_boulez	French composer of serial music (born in 1925)	0.594	12	8
n10435041	bn:00007954n	n	piper, bagpiper	pifferaio, zampognaro	someone who plays the bagpipe	0.8	11	7
n03945615	bn:00062571n	n	pipe	piffero	a tubular wind instrument	0.457	13	9
n11408041	bn:00062467n	n	Zukerman, Pinchas_Zukerman	pinchas_zukerman	Israeli violinist (born in 1948)	0.508	12	8
n05045208	bn:00061303n	n	rain, pelting	pioggia, rain	anything happening rapidly or in quick successive	0.32	9	7
n07024607	bn:00062696n	n	pizzicato	pizzicato	a note or passage that is played pizzicato	0.806	1	5
n10938199	bn:00028180n	n	Domingo, Placido_Domingo	placido_domingo, plácido_domingo	Spanish operatic tenor noted for performances in operas by Verdi and Puccini (born in 1941)	0.508	13	9
