wn_synset	babelnet_id	pos	lemmata en	lemmata nl	definition	confidence	dist_from_music	dist_from_entity																	
wn:11040024n	bn:00043692n	n	Hendrix, Jimi_Hendrix, James_Marshall_Hendrix	jimi_hendrix, james_marshall_hendrix, jimmy_hendrix, jimi_hendrix_experience, the_jimi_hendrix_experience, hendrix	United States guitarist whose innovative style with electric guitars influenced the development of rock music (1942-1970)	0,619	12	8	NO																
wn:11248599n	bn:00043731n	n	Purcell, Henry_Purcell	henry_purcell, purcell	English organist at Westminster Abbey and composer of many theatrical pieces (1659-1695)	0,435	12	8	NO																
wn:11044629n	bn:00043789n	n	Herbert, Victor_Herbert	victor_herbert, herbert	United States musician and composer and conductor noted for his comic operas (1859-1924)	0,621	11	7	NO																
wn:11044939n	bn:00043828n	n	Herman, Woody_Herman, Woodrow_Charles_Herman	woody_herman, herman, woodrow_charles_herman	United States jazz musician and bandleader (1913-1987)	0,661	12	8	NO																
wn:03517760n	bn:00043977n	n	hi-fi, high_fidelity_sound_system	high-fidelity_geluid_systeem	equipment for the reproduction of sound with high fidelity	0,5	13	9	YES																
wn:00950858n	bn:00044092n	n	high_technology, high_tech	hightech, high-tech, spitstechnologie, hi-tech	highly advanced technological development (especially in electronics)	0,01	11	9	NO																
wn:00538791n	bn:00044117n	n	highland_fling	highland_fling	a vigorous Scottish reel	1	15	13	YES																
wn:07062315n	bn:00044145n	n	hillbilly_music	old-time_music, old_time_music, old-time, hillbilly_muziek, old-familiar_tunes, oldtime, old-time_singing, songs_from_dixie, old_time, old-time_muziek, oude_tijd_muziek	country music originating in mountainous regions of southern United States	0,649	5	8	YES																
wn:11050870n	bn:00044172n	n	Hindemith, Paul_Hindemith	hindemith, paul_hindemith	German neoclassical composer and conductor who believed that music should have a social purpose (1895-1963)	0,552	12	8	NO																
wn:07064055n	bn:00044202n	n	rap, rap_music, hip-hop	hiphop, hip-hop, rap, hip_hop, hip_hop_muziek, hip-hop_muziek, rap_muziek, hiphopper, hip_hop_music, hip_hop_groep, hip_hop_artiest, rapgroep	"genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged"	0,679	3	6	YES																
wn:07031144n	bn:00044604n	n	homophony	homofonie, homofone	part music with one dominant voice (in a homophonic style)	0,769	2	6	YES																
wn:10291580n	bn:00044610n	n	manikin, mannikin, homunculus	oefenpop	a person who is very small but who is not otherwise deformed or abnormal	0,429	9	5	NO																
wn:05127782n	bn:00044763n	n	horizon, view, purview	bereik, horizon, gezichtsveld	the range of interest or activity that can be anticipated	0,333	9	7	NO																
wn:11060688n	bn:00044788n	n	Horne, Marilyn_Horne	marilyn_horne	United States operatic mezzo-soprano (born 1934)	0,602	14	10	NO																
wn:10185483n	bn:00044801n	n	hornist	hoornist	a musician who plays a horn (especially a French horn)	1	11	7	YES																
wn:07055720n	bn:00044803n	n	hornpipe	hornpipe	music for dancing the hornpipe	0,566	2	6	YES																
wn:11060937n	bn:00044814n	n	Horowitz, Vladimir_Horowitz	vladimir_horowitz, ___________________________, ___________________________, horowitz	Russian concert pianist who was a leading international virtuoso (1904-1989)	0,527	12	8	NO																
wn:07122639n	bn:00044886n	n	hosanna	hosanna, hossanna	a cry of praise or adoration (to God)	0,233	4	6	YES																
wn:10187710n	bn:00044934n	n	hotdog, hot_dog		someone who performs dangerous stunts to attract attention to himself	0,333	12	8	NO																
wn:07063775n	bn:00044937n	n	hot_jazz	hot_jazz	jazz that is emotionally charged and intense and marked by strong rhythms and improvisation	0,724	4	7	YES																
wn:07385367n	bn:00045076n	n	howl	gehuil, gejank	a loud sustained noise resembling the cry of a hound	0,25	9	7	YES																
wn:11123262n	bn:00045116n	n	Ledbetter, Huddie_Leadbetter, Leadbelly	leadbelly, lead_belly, lead_belly,_folk_singer_and_composer, huddie_leadbetter, ledbetter	United States folk singer and composer (1885-1949)	0,549	12	8	NO																
wn:11394398n	bn:00045139n	n	Wolf, Hugo_Wolf	hugo_wolf	Austrian composer (1860-1903)	0,527	12	8	NO																
wn:07385803n	bn:00045151n	n	hum, humming	neuriën, neurien, gezoem, gebrom, bocca_chiusa	a humming noise	0,414	9	7	YES																
wn:10191802n	bn:00045195n	n	hummer	neuriër	a singer who produces a tune without opening the lips or forming words	0,6	12	8	YES																
wn:01253944n	bn:00045196n	n	humming	neuriën	the act of singing with closed lips	1	11	9	YES																
wn:11067745n	bn:00045280n	n	Hurok, Sol_Hurok, Solomon_Hurok	sol_hurok, hurok, solomon_hurok	United States impresario who was born in Russia (1888-1974)	0,406	14	10	NO																
wn:04982478n	bn:00045291n	n	hush, stillness, still	alambiek, analyse, stilte	(poetic) tranquil silence	0,6	8	6	YES																
wn:13284442n	bn:00045292n	n	hush_money	zwijggeld, steekpenning	a bribe paid to someone to insure that something is kept secret	0,5	11	9	NO																
wn:01255549n	bn:00045466n	n	psalmody, hymnody	hymnody, psalmodie, psalmgezang	the act of singing psalms or hymns	0,189	11	9	YES																
wn:06656274n	bn:00045635n	n	hypothetical_imperative	hypothetische_imperatief, hypothetisch_imperatief	a principle stating the action required to attain a desired goal	0	7	7	NO																
wn:11070531n	bn:00045694n	n	Ibert, Jacques_Francois_Antoine_Ibert	jacques_francois_antoine_ibert, jacques_ibert, jacques_françois_antoine_ibert, ibert	French composer (1890-1962)	0,393	12	8	NO																
wn:07029247n	bn:00045803n	n	theme, melodic_theme, musical_theme, idea	thema, onderwerp, indruk, figuur, muzikaal_thema, melodisch_thema	(music) melodic subject of a musical composition	0,782	2	6	YES																
wn:05762998n	bn:00045818n	n	recognition, identification	erkenning, herkenning, Capitol_Records	the process of recognizing something or someone by remembering	0,827	9	7	NO																
wn:05763412n	bn:00045825n	n	identity	identiteit, identiteiten, persoonlijkheid	the individual characteristics by which a thing or person is recognized or known	0,25	10	8	NO																
wn:07043824n	bn:00045863n	n	pastorale, pastoral, idyll, idyl	pastorale	a musical composition that evokes rural life	0,818	2	6	YES																
wn:11070855n	bn:00045873n	n	Iglesias, Julio_Iglesias	julio_iglesias, julio_josé_iglesias_de_la_cueva, iglesias	Spanish singer noted for his ballads and love songs (born in 1943)	0,377	12	8	NO																
wn:11321841n	bn:00045895n	n	Stravinsky, Igor_Stravinsky, Igor_Fyodorovich_Stravinsky	igor_stravinsky, stravinsky, igor_strawinski, igor_strawinsky, igor_stravinski, strawinski, strawinsky, igor_stravinsky_fyodorovich	composer who was born in Russia but lived in the United States after 1939 (1882-1971)	0,455	12	8	NO																
wn:07239788n	bn:00046185n	n	impromptu		an extemporaneous speech or remark	0	9	7	NO																
wn:07239927n	bn:00046186n	n	impromptu	Impromptu	a short musical passage that seems to have been made spontaneously without advance preparation	0,333	3	7	YES																
wn:07240077n	bn:00046246n	n	inaugural_address, inaugural	inaugurele_rede, openingsrede	an address delivered at an inaugural ceremony (especially by a United States president)	0	9	7	NO																
wn:13978033n	bn:00046283n	n	incident	incident	a public disturbance	0,5	8	6	NO																
wn:07281375n	bn:00046286n	n	incidental_music	toneelmuziek, incidentele_muziek	music composed to accompany the action of a drama or to fill intervals between scenes	0,541	2	6	YES																
wn:06396812n	bn:00046884n	n	insert		a folded section placed between the leaves of another publication	0,5	2	6	NO																
wn:07038767n	bn:00046972n	n	instrumental_music	instrumentale_muziek	music intended to be performed by a musical instrument or group of instruments	1	1	5	YES																
wn:00544731n	bn:00046973n	n	instrumental_music	instrumentale_muziek, instrumentaal, instrumentale, instrumentals	music produced by playing a musical instrument	0,822	9	7	YES																
wn:10340312n	bn:00046975n	n	musician, instrumentalist, player	muzikant, musicus, instrumentalist, speler, muzikante, muzikanten, toonkunstenaar, bespeler, musicienne, muziekbeoefenaar, instrumentist, muziekartiest, muziekant, instrumentalisten, muzikale_carrière, artiesten, muziek_kunstenaar	someone who plays a musical instrument (as a profession)	0,616	10	6	YES																
wn:07038910n	bn:00046980n	n	instrumentation	instrumentatie	the instruments called for in a musical score or arrangement for a band or orchestra	0,8	3	7	YES																
wn:00939818n	bn:00046981n	n	orchestration, instrumentation	instrumentatie, orkestraties, orkestratie, georkestreerd	the act of arranging a piece of music for an orchestra and assigning parts to the different musical instruments	0,762	12	10	YES																
wn:07040292n	bn:00047125n	n	intermezzo	intermezzo, tussenspel	a short movement coming between the major sections of a symphony	1	3	7	YES																
wn:07039620n	bn:00047126n	n	intermezzo	Intermezzo	a short piece of instrumental music composed for performance between acts of a drama or opera	0,66	2	6	YES																
wn:07036768n	bn:00047165n	n	Internationale	internationale	a revolutionary socialist anthem	0,18	5	8	NO																
wn:05126611n	bn:00047168n	n	internationality, internationalism	kosmopolitisme, wereldburgerschap, internationaliteit	quality of being international in scope	1	9	7	NO																
wn:01254978n	bn:00047255n	n	intonation	intonatie	singing by a soloist of the opening piece of plainsong	1	11	9	YES																
wn:07045245n	bn:00047288n	n	intro	intro	a brief introductory passage to a piece of popular music	0,717	3	7	YES																
wn:07040413n	bn:00047292n	n	introit	introïtus, introit, intredezang, introitus	a composition of vocal music that is appropriate for opening church services	0,113	2	6	YES																
wn:07030174n	bn:00047344n	n	inversion	omkering, inversie, inverteerbaar_contrapunt	(counterpoint) a variation of a melody or part in which ascending intervals are replaced by descending intervals and vice versa	0,762	4	8	YES																
wn:03584254n	bn:00047435n	n	iPod	ipod	(trademark) a pocket-sized device used to play music files	0,667	14	10	YES																
wn:03586448n	bn:00047509n	n	iron_maiden	ijzeren_maagd, spijkerkast, iron_maiden	instrument of torture consisting of a hollow iron frame shaped like the human body and lined with spikes to impale the victim	0,02	14	10	NO																
wn:11316828n	bn:00047581n	n	Stern, Isaac_Stern	isaac_stern	United States concert violinist (born in Russia in 1920)	0,487	12	8	NO																
wn:11076965n	bn:00047836n	n	Jackson, Michael_Jackson, Michael_Joe_Jackson	michael_jackson, michael_joseph_jackson, the_king_of_pop, discografie_van_michael_jackson, debbie_rowe, prince_jackson, wacko_jacko, brett_barnes, de_erven_jackson, erven_jackson, mikael_jackson, micheal_jackson, wade_robson, paris_jackson, james_safechuck, blanket_jackson, michael_joe_jackson	United States singer who began singing with his four brothers and later became a highly successful star during the 1980s (born in 1958)	0,405	12	8	NO																
wn:11076820n	bn:00047837n	n	Jackson, Mahalia_Jackson	mahalia_jackson	United States singer who did much to popularize gospel music (1911-1972)	0,406	12	8	NO																
wn:11212534n	bn:00047870n	n	Offenbach, Jacques_Offenbach	jacques_offenbach, jakob_eberscht, jaques_offenbach, offenbach	French composer of many operettas and an opera (1819-1880)	0,465	12	8	NO																
wn:11078650n	bn:00047889n	n	Jagger, Mick_Jagger, Michael_Philip_Jagger	mick_jagger, michael_philip_jagger, jagger	English rock star (born in 1943)	0,489	13	9	NO																
wn:00102374n	bn:00047902n	n	jam_session	jamsessie, jam-session, jam_session, jammen, jamsessies	an impromptu jazz concert	0,812	12	10	YES																
wn:11192533n	bn:00047932n	n	Morrison, Jim_Morrison, James_Douglas_Morrison	jim_morrison, jim_morisson, james_douglas_morrison	United States rock singer (1943-1971)	0,303	13	9	NO																
wn:07385998n	bn:00047970n	n	jingle, jangle	janglepop, gerinkel	a metallic sound	0,86	8	6	YES																
wn:11091545n	bn:00047971n	n	Joplin, Janis_Joplin	janis_joplin	United States singer who died of a drug overdose at the height of her popularity (1943-1970)	0,479	12	8	NO																
wn:07062697n	bn:00048065n	n	jazz	jazz, soul_jazz, jazzmusicus, jazzmuziek, jazzmuzikant, jazzy, modern_jazz, jazz_muziek	a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles	0,755	3	6	YES																
wn:07060976n	bn:00048066n	n	jazz	jazzballet, jazzdance, jazzdans, jazz-ballet	"a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands"	0,322	2	6	YES																
wn:15255439n	bn:00048067n	n	Jazz_Age	jazz_age	the 1920s in the United States characterized in the novels of F. Scott Fitzgerald as a period of wealth, youthful exuberance, and carefree hedonism	0,347	9	7	NO																
wn:10220486n	bn:00048069n	n	jazz_musician, jazzman	jazzman, jazzmuzikant	a musician who plays or composes jazz music	1	11	7	YES																
wn:11252915n	bn:00048077n	n	Rameau, Jean-Philippe_Rameau	jean-philippe_rameau, jean_philippe_rameau, rameau	French composer of operas whose writings laid the foundation for the modern theory of harmony (1683-1764)	0,47	12	8	NO																
wn:11299367n	bn:00048086n	n	Sibelius, Jean_Sibelius, Johan_Julius_Christian_Sibelius	jean_sibelius, sibelius, janne_sibelius, jean_jules_sibelius, johan_julius_christian_sibelius	Finnish composer (1865-1957)	0,464	12	8	NO																
wn:11132768n	bn:00048119n	n	Lind, Jenny_Lind, Swedish_Nightingale	jenny_lind, jenny_lind-goldschmidt, jenny_goldschmidt, lind, zweedse_nachtegaal	Swedish soprano who toured the United States under the management of P. T. Barnum (1820-1887)	0,313	13	9	NO																
wn:11102353n	bn:00048139n	n	Kern, Jerome_Kern, Jerome_David_Kern	jerome_kern, jerome_david_kern	United States composer of musical comedies (1885-1945)	0,404	12	8	NO																
wn:11131358n	bn:00048143n	n	Lewis, Jerry_Lee_Lewis	jerry_lee_lewis	United States rock star singer and pianist (born in 1935)	0,507	12	8	NO																
wn:11209428n	bn:00048159n	n	Norman, Jessye_Norman	jessye_norman	United States operatic soprano (born in 1945)	0,688	13	9	NO																
wn:03597916n	bn:00048180n	n	jew's_harp, jews'_harp, mouth_bow	mondharp, muzikale_boog, joden_'harp, kaak_harp, mond_boog	a small lyre-shaped musical instrument that is placed between the teeth and played by twanging a wire tongue while changing the shape of the mouth cavity	0,331	12	8	YES																
wn:07066042n	bn:00048231n	n	swing, swing_music, jive	swing, swing_muziek, nonsens, swing_band, swing_jazz, jive	"a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz"	0,791	4	7	YES																
wn:11085267n	bn:00048234n	n	Joachim, Joseph_Joachim	joseph_joachim, joachim, jochem	Hungarian violinist and composer (1831-1907)	0,525	12	8	NO																
wn:11321296n	bn:00048286n	n	Strauss, Johann_Strauss, Strauss_the_Elder	strauss_the_elder	Austrian composer of waltzes (1804-1849)	1	12	8	NO																
wn:11126783n	bn:00048320n	n	Lennon, John_Lennon	john_lennon, john_winston_lennon, winston_lennon_john, lennon	English rock star and guitarist and songwriter who with Paul McCartney wrote most of the music for the Beatles (1940-1980)	0,455	13	9	NO																
wn:11168513n	bn:00048328n	n	McCormick, John_McCormick	john_mccormick	United States operatic tenor (born in Ireland) (1884-1945)	0,5	13	9	NO																
wn:11308988n	bn:00048337n	n	Sousa, John_Philip_Sousa, March_King	john_philip_sousa, john_sousa, john_philip_de_sousa, maart_koning, sousa	a United States bandmaster and composer of military marches (1854-1932)	0,355	12	8	NO																
wn:03601335n	bn:00048372n	n	joint		a disreputable place of entertainment	0,5	13	9	NO																
wn:03603199n	bn:00048410n	n	juke, jook, juke_joint, jook_joint, juke_house, jook_house	juke_joint, jukejoint, getto_huis, jook_huis, jook_gezamenlijke, juke_huis	a small roadside establishment in the southeastern United States where you can eat and drink and dance to music provided by a jukebox	0,649	14	10	YES																
wn:11091374n	bn:00048411n	n	Joplin, Scott_Joplin	scott_joplin	United States composer who was the first creator of ragtime to write down his compositions (1868-1917)	0,458	12	8	NO																
wn:11214153n	bn:00048433n	n	Oliver, Joseph_Oliver, King_Oliver	"king_oliver, oliver, joe_king_oliver, joe_""king""_oliver, joseph_oliver"	United States jazz musician who influenced the style of Louis Armstrong (1885-1938)	0,552	12	8	NO																
wn:15250312n	bn:00048476n	n	jubilee	jubileum, jubelfeest, jubeljaar, ambtsjubileum, jubelfeestje	a special anniversary (or the celebration of it)	0,459	10	8	NO																
wn:10226219n	bn:00048514n	n	Judith		"Jewish heroine in one of the books of the Apocrypha; she saved her people by decapitating the Assyrian general Holofernes"	0,608	11	7	NO																
wn:03603722n	bn:00048516n	n	jug	kan	a large bottle with a narrow mouth	0,406	13	9	NO																
wn:08249608n	bn:00048518n	n	jug_band	jug_band, jugband, kruik_bands	a musical group that uses jugs and washboards and kazoos and other improvised instruments	0,667	9	7	YES																
wn:00338994n	bn:00048523n	n	juggle, juggling		the act of rearranging things to give a misleading impression	1	13	11	NO																
wn:11163709n	bn:00048542n	n	Massenet, Jules_Emile_Frederic_Massenet	jules_massenet, massenet, jules_emile_frederic_massenet	French composer best remembered for his pop operas (1842-1912)	0,585	12	8	NO																
wn:05931827n	bn:00048729n	n	kaleidoscope		a complex pattern of constantly changing colors and shapes	0	8	6	NO																
wn:01255302n	bn:00048797n	n	karaoke	karaoke, karaoke-machine, karaoke_box, noraebang	singing popular songs accompanied by a recording of an orchestra (usually in bars or nightclubs)	0,237	11	9	YES																
wn:00134099n	bn:00048858n	n	knockout, KO, kayo	knock-out, ko, knockout, knock-, k.o., technische_knock-out, kayo	a blow that renders the opponent unconscious	0,474	12	10	NO																
wn:03609397n	bn:00048867n	n	kazoo	kazoo, gonzofoon, papierofoon, kazoe, kazoos	a toy wind instrument that has a membrane that makes a sound when you hum into the mouthpiece	0,601	13	9	YES																
wn:03612965n	bn:00048981n	n	kettle, kettledrum, tympanum, tympani, timpani	pauken, pauk, tympani, ketel_trommel	a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it	0,533	13	9	YES																
wn:06863751n	bn:00048988n	n	key, tonality	tonaliteit, tonale_muziek, toonsoort, tonaal, key_music, toonaard, sleutel	any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music	0,624	7	7	YES																
wn:03614532n	bn:00049008n	n	keyboard_instrument	toetsinstrument, klavierinstrument, keyboard, klavier, toetsen, toetsinstrumenten, toetsenbord, keyboards	a musical instrument that is played by means of a keyboard	0,672	12	8	YES																
wn:10229883n	bn:00049009n	n	keyboardist	toetsenist, toetsenisten	a musician who plays a keyboard instrument	0,903	11	7	YES																
wn:13284784n	bn:00049071n	n	kickback	terugslag	a commercial bribe paid by a seller to a purchasing agent in order to induce the agent to enter into the transaction	0,333	11	9	NO																
wn:10231087n	bn:00049103n	n	killer, slayer	moordenaar, doder, Slayer	someone who causes the death of a person or animal	0,572	8	4	NO																
wn:07330560n	bn:00049229n	n	kismet, kismat	kismet, lotbestemming, kismat	(Islam) the will of Allah	0,315	8	6	NO																
wn:05258627n	bn:00049233n	n	spit_curl, kiss_curl	spuuglok, spugen_krullen, kiss_krullen	a spiral curl plastered on the forehead or cheek	0,25	14	10	NO																
wn:07386194n	bn:00049319n	n	knell	knell, doodsklok	the sound of a bell rung slowly to announce a death or a funeral or the end of something	0,125	9	7	YES																
wn:03628215n	bn:00049443n	n	koto	koto	"Japanese stringed instrument that resembles a zither; has a rectangular wooden sounding board and usually 13 silk strings that are plucked with the fingers"	0,484	13	9	YES																
wn:10240715n	bn:00049444n	n	koto_player	koto-speler	a musician who plays the koto	0,667	11	7	YES																
wn:11109970n	bn:00049448n	n	Koussevitzky, Serge_Koussevitzky, Sergei_Aleksandrovich_Koussevitzky	serge_koussevitzky, sergei_koussevitzky, sergej_koesevitski, _______________________________, _______________________________, koussevitzky, sergei_aleksandrovich_koussevitzky	United States conductor (born in Russia) who was noted for performing the works of contemporary composers (1874-1951)	0,629	12	8	NO																
wn:11379908n	bn:00049501n	n	Weill, Kurt_Weill	kurt_weill, weill	"German composer; collaborated with Bertolt Brecht (1900-1950)"	0,508	12	8	NO																
wn:07061180n	bn:00049531n	n	kwela	kwela	"a kind of danceable music popular among black South Africans; includes a whistle among its instruments"	0,707	2	6	YES																
wn:03694639n	bn:00049539n	n	LP, L-P	langspeelplaat, l.p., picture_lp, elpee, 33_toeren, lp, lp_record, witte_plaat, longplay, lp_album, lange_spelen, l-p	"a long-playing phonograph record; designed to be played at 33.3 rpm"	0,623	15	11	YES																
wn:11113601n	bn:00049554n	n	Laban, Rudolph_Laban	laban, rudolph_laban	Hungarian choreographer who developed Labanotation (1879-1958)	0,533	10	6	NO																
wn:06851516n	bn:00049558n	n	label, recording_label	platenlabel, platenmaatschappij, label, etiket, muzieklabel, grote_platenmaatschappijen, major_label, muziek_label, grote_platenmaatschappij, sublabel, platenmaatschappijen	trade name of a company that produces musical recordings	0,663	9	7	NO																
wn:03632277n	bn:00049652n	n	ladder	ladder, trap, touwladder, trapladder, trapleer, leer, sport, ladders	"steps consisting of two parallel members connected by rungs; for climbing up or down"	0,007	12	8	NO																
wn:03633632n	bn:00049690n	n	lagerphone	kuttepiel, lagerphone, rinkelbom	"an Australian percussion instrument used for playing bush music; a long stick with bottle caps nailed loosely to it; played by hitting it with a stick or banging it on the ground"	0,536	13	9	YES																
wn:07055923n	bn:00049875n	n	landler	ländler	music in triple time for dancing the landler	1	2	6	YES																
wn:11115929n	bn:00049885n	n	Landowska, Wanda_Landowska	wanda_landowska, landowska	United States harpsichordist (born in Poland) who helped to revive modern interest in the harpsichord (1879-1959)	0,431	12	8	NO																
wn:07046737n	bn:00050031n	n	larghetto	larghetto	(music) a composition or passage played in a slow tempo slightly faster than largo but slower than adagio	0,763	2	6	YES																
wn:07046543n	bn:00050032n	n	largo	grave, largo	(music) a composition or passage that is to be performed in a slow and dignified manner	0,761	2	6	YES																
wn:11118362n	bn:00050089n	n	Lasso, Orlando_di_Lasso, Roland_de_Lassus	orlando_di_lasso, roland_de_lassus	Belgian composer (1532-1594)	1	12	8	NO																
wn:05127640n	bn:00050180n	n	latitude		"scope for freedom of e.g. action or thought; freedom from restriction"	0,333	9	7	NO																
wn:11172411n	bn:00050232n	n	Melchior, Lauritz_Melchior, Lauritz_Lebrecht_Hommel_Melchior	lauritz_melchior, lauritz_lebrecht_hommel_melchior	United States operatic tenor (born in Denmark) noted for his Wagnerian roles (1890-1973)	0,512	13	9	NO																
wn:06815458n	bn:00050365n	n	lead_sheet	leadsheet, plaatlood, lead_sheet, bladlood	a sheet containing the words and melody for a song (and some indication of harmony) written in simple form	0,787	3	7	YES																
wn:07240549n	bn:00050486n	n	lecture, public_lecture, talk	lezing, voordracht, voorlezing, openbare_les	a speech that is open to the public	0	9	7	NO																
wn:06862399n	bn:00050499n	n	ledger_line, leger_line	ledger_line, hulplijnen, zetlijn, grootboek_lijn	"a short line; a notation for extending the range above or below the staff"	0,733	6	6	YES																
wn:07028797n	bn:00050617n	n	leitmotiv, leitmotif	leitmotiv, leidmotief, leitmotif, gefuhlsmoment, gefühlsmoment, rode_draad, leidmotieven, leit_motief	a melodic phrase that accompanies the reappearance of a person or situation (as in Wagner's operas)	0,443	2	6	YES																
wn:11163859n	bn:00050704n	n	Massine, Leonide_Fedorovitch_Massine, Leonid_Fyodorovich_Myasin	léonide_massine, leonide_massine, ______________________, ______________________, ______________________, ______________________, massine, leonid_fyodorovich_myasin, leonide_fedorovitch_massine	French choreographer and ballet dancer (born in Russia) (1895-1979)	0,331	10	6	NO																
wn:11246408n	bn:00050710n	n	Price, Leontyne_Price, Mary_Leontyne_Price	leontyne_price, leontyne_prijs, mary_leontyne_prijs	United States operatic soprano (born 1927)	0,628	13	9	NO																
wn:11318967n	bn:00050721n	n	Stokowski, Leopold_Stokowski, Leopold_Antoni_Stanislaw_Stokowski	leopold_stokowski, stokowski, leopold_stokowski_antoni_stanislaw	United States conductor (born in Britain) (1882-1977)	0,661	12	8	NO																
wn:11403692n	bn:00050796n	n	Young, Pres_Young, Lester_Willis_Young	lester_young, lester_willis_young, pres_young	United States jazz tenor saxophonist (1909-1959)	0,643	12	8	NO																
wn:07012025n	bn:00050979n	n	libretto	libretto, operatekst, librettist, libretti	the words of an opera or musical play	0,556	7	7	YES																
wn:07051620n	bn:00051026n	n	lied	lied, kunstlied, cultuurlied, liederen	a German art song of the 19th century for voice and piano	0,702	3	7	YES																
wn:10259016n	bn:00051027n	n	lieder_singer	liedzanger	a singer of lieder	1	12	8	YES																
wn:07027090n	bn:00051138n	n	operetta, light_opera	operette, opéra_bouffe, opera-bouffe, opéra-bouffe, opera_bouffe, jehovah's_getuige, operettes	a short amusing opera	0,499	5	8	YES																
wn:11275344n	bn:00051204n	n	Russell, Lillian_Russell	lillian_russell	United States entertainer remembered for her roles in comic operas (1861-1922)	0,315	12	8	NO																
wn:04992008n	bn:00051209n	n	lilt, swing	swing, shuffle, ritme, zwaaide_noot	a jaunty rhythm in music	0,927	8	6	YES																
wn:00910533n	bn:00051448n	n	lip_synchronization, lip_synchronisation, lip_synch, lip_sync	lip_synchronisatie, lip-synchronisatie, lip_sync, lip_synch, lipsynchronisatie, playback, lipsync, lip-synch, lip-sync, lip-syncing	"combining audio and video recording in such a way that the sound is perfectly synchronized with the action that produced it; especially synchronizing the movements of a speaker's lips with the sound of his speech"	0,434	11	9	NO																
wn:10338707n	bn:00051488n	n	murderer, liquidator, manslayer	moordenaar, liquidator, vereffenaar, doodslager	a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)	0,006	9	5	NO																
wn:07240763n	bn:00051522n	n	litany	litanie	any long and tedious address or recital	0	9	7	YES																
wn:06572857n	bn:00051985n	n	loop	lus, repetitie, herhaling, drum_loop, drumloops, muziek_lus	a computer program that performs a series of instructions repeatedly until some specified condition is satisfied	0,704	9	9	NEW SYNSET																
wn:10272375n	bn:00052022n	n	Lord_of_Misrule	meester_van_wanbestuur, heer_van_wanbestuur	a person appointed master of revels at a Christmas celebration	0,048	10	6	NO																
wn:03691817n	bn:00052106n	n	lounge, waiting_room, waiting_area	wachtkamer, wachtrij, wachtruimte, wachtzaal, ultra_lounge, wachtrij_gebied, lounge_zanger, lounge_muziek	a room (as in a hotel or airport) with seating where people can wait	0,341	12	8	NO																
wn:07051728n	bn:00052128n	n	love_song, love-song	lovesong, love_song, liefdeslied, liefdesliedjes	a song about love or expressing love for another person	0,429	3	7	YES																
wn:11227101n	bn:00052236n	n	Pavarotti, Luciano_Pavarotti	luciano_pavarotti, pavarotti	Italian tenor (born in 1935)	0,469	13	9	NO																
wn:10277132n	bn:00052335n	n	luncher	luncher	someone who is eating lunch	0,333	11	7	NO																
wn:10277638n	bn:00052378n	n	lutist, lutanist, lutenist	luitspeler, luitist, lutist	a musician who plays the lute	0,456	11	7	YES																
wn:03699280n	bn:00052470n	n	lyre	lier, Lir_, lyra, lieren	a harp used by ancient Greeks for accompaniment	0,176	15	11	YES																
wn:04983688n	bn:00052474n	n	lyricality, lyricism, songfulness	songfulness, lyricality	the property of being suitable for singing	1	8	6	YES																
wn:07059821n	bn:00052630n	n	macumba	macumba	"popular dance music of Brazil; derived from the practices of the macumba religious cult"	0,25	3	6	YES																
wn:11148748n	bn:00052650n	n	Madonna, Madonna_Louise_Ciccone	madonna, madonna_louise_veronica_ciccone, queen_of_pop, madonna_louise_ciccone	United States pop singer and sex symbol during the 1980s (born in 1958)	0,367	12	8	NO																
wn:07052925n	bn:00052656n	n	madrigal	madrigaal, Madrigal	"an unaccompanied partsong for 2 or 3 voices; follows a strict poetic form"	0,559	4	8	YES																
wn:10279867n	bn:00052657n	n	madrigalist	madrigalist	a singer of madrigals	1	12	8	YES																
wn:06860826n	bn:00052883n	n	major_scale, major_diatonic_scale	majeur, grote_tertstoonladder, grote-tertstoonladder, grote-tertstoonsoort, grote_schaal, durtoonladder, grotetertstoonladder, belangrijke_diatonische_schaal	a diatonic scale with notes separated by whole tones except for the 3rd and 4th and 7th and 8th	0,657	10	10	YES																
wn:00538668n	bn:00053074n	n	mambo	mambo, haïtidans	a Latin American dance similar in rhythm to the rumba	0,584	10	8	YES																
wn:03716887n	bn:00053161n	n	mandola	mandola	an early type of mandolin	0,695	15	11	YES																
wn:10292316n	bn:00053285n	n	manufacturer, producer	hip_hop_productie, hip_hop_producer, instrumentale_hip_hop	someone who manufactures something	0,855	10	6	NO																
wn:03720891n	bn:00053321n	n	maraca	maracas, sambaballen, sambabal, maraca	"a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs"	0,445	13	9	YES																
