wn_synset	babelnet_id	pos	lemmata en	lemmata es	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:01707306v	bn:00089216v	v	harmonize, harmonise	armonizar	write a harmony for	1.0	99	99	YES
wn:01706889v	bn:00089217v	v	harmonize, harmonise	armonizar	sing or play in harmony	0.833	99	99	YES
wn:00482180v	bn:00084944v	v	harmonize, harmonise, chord	armonizar, concordar, congeniar	bring into consonance, harmony, or accord while making music or singing	0.857	99	99	YES
wn:10823199n	bn:00005802n	n	Armstrong, Louis_Armstrong, Satchmo	armstrong, louis_armstrong, louis_daniel_armstrong, pops, satchmo	United States pioneering jazz trumpeter and bandleader (1900-1971)	0.416	12	8	NO
wn:11285902n	bn:00005839n	n	Schonberg, Arnold_Schonberg, Schoenberg, Arnold_Schoenberg	arnold_schoemberg, arnold_schoenberg, arnold_schonberg, schoemberg, schoenberg, schomberg, schonberg, sinfonia_de_camara, schönberg, schöenberg, arnold_schönberg, arnold_schöenberg, sinfonía_de_cámara	United States composer and musical theorist (born in Austria) who developed atonal composition (1874-1951)	0.503	12	8	NO
wn:03495258n	bn:00043043n	n	harp	arpa	a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers	0.436	14	10	YES
wn:03597916n	bn:00048180n	n	jew's_harp, jews'_harp, mouth_bow	arpa_de_boca, guimbarda, arpa_de_mandíbula	a small lyre-shaped musical instrument that is placed between the teeth and played by twanging a wire tongue while changing the shape of the mouth cavity	0.331	12	8	YES
wn:02682407n	bn:00001644n	n	aeolian_harp, aeolian_lyre, wind_harp	arpa_eolia, harpa_eolia, arpa_eólica	a harp having strings tuned in unison; they sound when wind passes over them	0.308	15	11	YES
wn:10160770n	bn:00043046n	n	harpist, harper	arpista	someone who plays the harp	0.44	11	7	YES
wn:09809925n	bn:00001269n	n	arranger, adapter, transcriber	arreglista	a musician who adapts a composition for particular voices or instruments or for another style of performance	0.825	11	7	YES
wn:00939628n	bn:00005866n	n	arrangement, arranging, transcription	arreglo, transcripción	the act of arranging and adapting a piece of music	0.795	11	9	YES
wn:07038400n	bn:00005865n	n	musical_arrangement, arrangement	arreglo_musical, arreglos_musicales, arreglo, adaptación	a piece of music that has been adapted for performance by a particular set of voices or instruments	0.823	2	6	YES
wn:00546738n	bn:00023495n	n	lullaby, cradlesong	arrullo, canto_de_cuna, nana, canción_de_cuna	the act of singing a quiet song to lull a child to sleep	0.5	11	9	YES
wn:11332688n	bn:00005950n	n	Tatum, Art_Tatum, Arthur_Tatum	art_tatum	United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)	0.633	12	8	NO
